"id","company_id","site_id","name","address","landlord_name","landlord_phone","landlord_email","total_units","building_type","property_manager","property_manager_phone","amenities","parking_spaces","notes","status","created_at","updated_at"
"128","1",,"McCarrons Views","195 W Larpenteur Ave #19 Roseville MN 55113","McCarrons Views","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:29.379Z""","""2025-09-07T13:43:29.379Z"""
"129","1",,"Mint Properties","2100 Pillsbury Ave S Minneapolis, MN 55404.","Mint Properties","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:29.572Z""","""2025-09-07T13:43:29.572Z"""
"130","1",,"The Commerce Building","10 East 4th st. St.Paul MN 55101","The Commerce Building","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:29.736Z""","""2025-09-07T13:43:29.736Z"""
"131","1",,"Vailwood Apartments","1935 Wilson Ave St.Paul MN 55119","Vailwood Apartments","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:29.918Z""","""2025-09-07T13:43:29.918Z"""
"132","1",,"Lion Rock  Property Management","5871 Cedar Lake Rd #103 Saint Louis Park, MN 55416","Lion Rock  Property Management","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:30.344Z""","""2025-09-07T13:43:30.344Z"""
"133","1",,"Chang Wang","4136 Cashell GLN Eagan MN 55122","Chang Wang","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:30.508Z""","""2025-09-07T13:43:30.508Z"""
"134","1",,"Straus Lofts Apartments-Sherman Associates","233 park ave south suite 201 Minneapolis MN 55415","Straus Lofts Apartments-Sherman Associates","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:30.757Z""","""2025-09-07T13:43:30.757Z"""
"135","1",,"Cedar Commons","2376 Ariel St North St.Paul MN 55109","Cedar Commons","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:30.915Z""","""2025-09-07T13:43:30.915Z"""
"136","1",,"L&M Management company","800 Rice St., Saint Paul MN 55117","L&M Management company","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:31.091Z""","""2025-09-07T13:43:31.091Z"""
"137","1",,"Anisa Mohamed","3577 woodland ct Eagan MN 55123","Anisa Mohamed","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:31.251Z""","""2025-09-07T13:43:31.251Z"""
"138","1",,"All Area Management LLC","3328 East Lake Street Minneapolis MN 55406","All Area Management LLC","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:31.605Z""","""2025-09-07T13:43:31.605Z"""
"139","1",,"Stephen Burks","691 St Anthony #1 Saint Paul MN 55104","Stephen Burks","(651) 000-0000","info@ramseycounty.gov","1","apartment",,,"[]",,,"active","""2025-09-07T13:43:31.773Z""","""2025-09-07T13:43:31.773Z"""
